maintenance_id,date_logged,vehicle_id,fault_type,severity,days_from_first_signal_to_detection,downtime_hours,cost_gbp
M00069,2026-02-04,V0197,BodyDamage,Medium,8,11,739
M00070,2026-02-04,V0320,EngineFault,Low,10,7,406
M00071,2026-02-04,V0312,BodyDamage,Low,7,6,415
M00072,2026-02-04,V0061,TyreWear,High,5,28,1544
M00073,2026-02-04,V0208,TyreWear,Medium,7,13,413
M00074,2026-02-04,V0120,SensorMalfunction,Low,6,5,342
M00075,2026-02-04,V0187,SensorMalfunction,Medium,7,12,451
M00076,2026-02-04,V0228,TyreWear,Critical,1,74,3815
M00077,2026-02-04,V0178,BodyDamage,Critical,3,72,3840
M00078,2026-02-04,V0275,BatteryDegradation,Low,9,7,412
M00079,2026-02-04,V0067,TyreWear,Medium,8,12,513
M00080,2026-02-04,V0142,BodyDamage,Low,7,7,426
M00081,2026-02-04,V0125,SensorMalfunction,Low,8,2,230
M00082,2026-02-04,V0356,TyreWear,Medium,8,10,623
M00083,2026-02-04,V0353,EngineFault,High,3,25,1390
M00084,2026-02-04,V0098,BatteryDegradation,Medium,7,10,544
M00085,2026-02-04,V0369,BatteryDegradation,Medium,11,10,503
M00086,2026-02-04,V0262,TyreWear,Medium,4,11,715
M00087,2026-02-04,V0084,BodyDamage,Medium,5,8,608
M00088,2026-02-04,V0015,TyreWear,Medium,11,11,518
M00089,2026-02-05,V0146,TyreWear,High,5,27,1269
M00090,2026-02-05,V0157,SensorMalfunction,Low,6,7,206
M00091,2026-02-05,V0399,BrakeIssue,Critical,2,75,3531
M00092,2026-02-05,V0231,SensorMalfunction,Critical,2,72,3557
M00093,2026-02-05,V0209,BrakeIssue,Low,7,4,132
M00094,2026-02-05,V0389,EngineFault,Low,9,7,303
M00095,2026-02-05,V0163,TyreWear,Critical,1,73,3697
M00096,2026-02-05,V0246,EngineFault,Critical,4,75,3504
M00097,2026-02-05,V0166,BatteryDegradation,Critical,2,77,3668
M00098,2026-02-05,V0046,SensorMalfunction,Medium,6,8,476
M00099,2026-02-05,V0195,BodyDamage,Medium,6,10,442
M00100,2026-02-05,V0379,TyreWear,Critical,4,77,3861
M00101,2026-02-05,V0008,EngineFault,Critical,3,72,3656
M00102,2026-02-05,V0292,EngineFault,Critical,4,74,3787
M00103,2026-02-05,V0287,BrakeIssue,Medium,9,9,410
M00104,2026-02-05,V0250,BrakeIssue,Low,6,2,302
M00105,2026-02-05,V0284,BrakeIssue,High,3,25,1374
M00106,2026-02-05,V0269,SensorMalfunction,Critical,2,76,3626
M00107,2026-02-05,V0348,TyreWear,Medium,10,12,715
M00108,2026-02-05,V0320,EngineFault,High,3,24,1232
M00109,2026-02-05,V0240,SensorMalfunction,Medium,14,13,545
M00110,2026-02-05,V0279,TyreWear,Medium,6,13,666
M00111,2026-02-05,V0381,EngineFault,High,2,27,1235
M00112,2026-02-05,V0080,TyreWear,Medium,10,11,407
M00113,2026-02-05,V0187,BrakeIssue,Critical,3,73,3874
M00114,2026-02-06,V0309,EngineFault,Medium,6,10,604
M00115,2026-02-06,V0264,EngineFault,Medium,5,9,490
M00116,2026-02-06,V0174,EngineFault,High,3,27,1479
M00117,2026-02-06,V0382,TyreWear,High,3,28,1440
M00118,2026-02-06,V0011,BrakeIssue,Low,10,7,337
M00119,2026-02-06,V0062,BrakeIssue,Medium,9,8,663
M00120,2026-02-06,V0089,BrakeIssue,Critical,5,76,3737
M00121,2026-02-06,V0168,BodyDamage,Low,7,6,474
M00122,2026-02-06,V0372,BrakeIssue,Critical,1,74,3754
M00123,2026-02-06,V0233,BatteryDegradation,Low,12,3,333
M00124,2026-02-06,V0051,BatteryDegradation,Low,7,7,430
M00125,2026-02-06,V0159,BrakeIssue,Low,8,4,291
M00126,2026-02-06,V0315,EngineFault,Critical,1,73,3502
M00127,2026-02-06,V0060,SensorMalfunction,High,5,26,1415
M00128,2026-02-06,V0247,BatteryDegradation,Low,9,6,237
M00129,2026-02-06,V0143,SensorMalfunction,Medium,10,12,352
M00130,2026-02-06,V0235,BrakeIssue,High,3,27,1374
M00131,2026-02-06,V0335,BrakeIssue,Medium,12,11,421
M00132,2026-02-06,V0064,EngineFault,Low,7,5,176
M00133,2026-02-06,V0332,BodyDamage,Critical,4,77,3676
M00134,2026-02-06,V0272,BodyDamage,Low,12,4,294
M00135,2026-02-06,V0282,SensorMalfunction,Medium,9,8,465
M00136,2026-02-07,V0045,EngineFault,Critical,5,72,3546
M00137,2026-02-07,V0148,SensorMalfunction,High,1,27,1507
M00138,2026-02-07,V0324,TyreWear,Medium,9,13,574
M00139,2026-02-07,V0126,SensorMalfunction,Critical,2,73,3827
M00140,2026-02-07,V0224,TyreWear,High,4,25,1573
M00141,2026-02-07,V0183,TyreWear,Low,7,6,147
M00142,2026-02-07,V0378,BrakeIssue,High,2,27,1346
M00143,2026-02-07,V0040,BodyDamage,Low,7,3,259
M00144,2026-02-07,V0373,BatteryDegradation,Low,4,4,325
M00145,2026-02-07,V0067,BodyDamage,Critical,2,75,3724
M00146,2026-02-07,V0061,TyreWear,Critical,8,77,3674
M00147,2026-02-07,V0373,BrakeIssue,Critical,2,77,3610
M00148,2026-02-07,V0255,BrakeIssue,Critical,5,73,3885
M00149,2026-02-07,V0130,EngineFault,Low,8,6,297
M00150,2026-02-07,V0304,BodyDamage,Medium,6,8,530
M00151,2026-02-08,V0160,BodyDamage,Low,8,3,337
M00152,2026-02-08,V0368,SensorMalfunction,Medium,4,12,642
M00153,2026-02-08,V0322,TyreWear,Critical,5,76,3847
M00154,2026-02-08,V0333,SensorMalfunction,Medium,9,10,736
M00155,2026-02-08,V0290,BodyDamage,Critical,0,76,3866
M00156,2026-02-08,V0398,BatteryDegradation,Low,8,7,146
M00157,2026-02-08,V0103,BrakeIssue,Low,7,6,408
M00158,2026-02-08,V0191,BrakeIssue,Low,13,4,333
M00159,2026-02-08,V0135,EngineFault,Medium,10,9,531
M00160,2026-02-08,V0147,SensorMalfunction,Critical,4,76,3851
M00161,2026-02-08,V0337,BatteryDegradation,Low,17,7,310
M00162,2026-02-08,V0317,BatteryDegradation,Low,3,3,131
M00163,2026-02-08,V0179,BatteryDegradation,Critical,4,77,3788
M00164,2026-02-08,V0037,SensorMalfunction,Low,9,5,243
M00165,2026-02-08,V0264,BatteryDegradation,Medium,7,9,546
M00166,2026-02-08,V0201,TyreWear,Medium,9,8,387
M00167,2026-02-08,V0072,TyreWear,Critical,0,75,3781
M00168,2026-02-08,V0106,EngineFault,Medium,11,13,724
M00169,2026-02-08,V0083,SensorMalfunction,Low,7,7,190
M00170,2026-02-08,V0180,BrakeIssue,Low,12,2,219
M00171,2026-02-08,V0171,BodyDamage,High,2,26,1392
M00172,2026-02-08,V0138,BatteryDegradation,Low,8,2,168
M00173,2026-02-08,V0033,BatteryDegradation,Medium,8,12,483
M00174,2026-02-09,V0013,SensorMalfunction,Medium,9,13,512
M00175,2026-02-09,V0043,BrakeIssue,High,6,26,1442
M00176,2026-02-09,V0222,TyreWear,Medium,8,12,602
M00177,2026-02-09,V0013,SensorMalfunction,High,1,28,1307
M00178,2026-02-09,V0086,SensorMalfunction,High,4,29,1231
M00179,2026-02-09,V0010,SensorMalfunction,Low,3,2,419
M00180,2026-02-09,V0008,TyreWear,Low,8,7,204
M00181,2026-02-09,V0149,BodyDamage,Medium,11,12,549
M00182,2026-02-09,V0016,TyreWear,High,5,25,1374
M00183,2026-02-09,V0178,BodyDamage,Medium,9,10,735
M00184,2026-02-09,V0305,EngineFault,Critical,3,73,3655
M00185,2026-02-09,V0143,EngineFault,Critical,2,77,3660
M00186,2026-02-09,V0015,BatteryDegradation,Low,6,3,85
M00187,2026-02-09,V0368,BrakeIssue,Medium,3,11,620
M00188,2026-02-09,V0274,TyreWear,High,3,24,1280
M00189,2026-02-09,V0188,SensorMalfunction,Medium,11,10,670
M00190,2026-02-09,V0196,BodyDamage,Low,6,4,479
M00191,2026-02-09,V0255,TyreWear,Medium,10,12,361
M00192,2026-02-09,V0235,SensorMalfunction,High,6,25,1424
M00193,2026-02-09,V0139,TyreWear,Medium,8,11,578
M00194,2026-02-09,V0181,TyreWear,Critical,2,74,3557
M00195,2026-02-09,V0138,SensorMalfunction,Low,7,3,137
M00196,2026-02-09,V0253,TyreWear,Low,3,3,435
M00197,2026-02-09,V0179,BodyDamage,Low,3,6,393
M00198,2026-02-09,V0316,EngineFault,High,3,24,1390
M00199,2026-02-10,V0069,EngineFault,Low,10,4,252
M00200,2026-02-10,V0355,BodyDamage,Medium,5,13,546
M00201,2026-02-10,V0017,BodyDamage,High,5,24,1548
M00202,2026-02-10,V0264,BodyDamage,Critical,4,73,3635
M00203,2026-02-10,V0303,EngineFault,Medium,10,10,421
M00204,2026-02-10,V0213,TyreWear,Medium,14,12,498
M00205,2026-02-10,V0259,BodyDamage,Critical,0,73,3804
M00206,2026-02-10,V0173,SensorMalfunction,Medium,10,12,353
M00207,2026-02-10,V0183,BatteryDegradation,Medium,9,12,425
M00208,2026-02-10,V0146,TyreWear,Medium,3,12,651
M00209,2026-02-10,V0343,BodyDamage,Medium,16,10,700
M00210,2026-02-10,V0324,TyreWear,Medium,10,9,524
M00211,2026-02-10,V0138,BodyDamage,Low,14,5,232
M00212,2026-02-10,V0284,SensorMalfunction,High,1,27,1549
M00213,2026-02-10,V0207,BrakeIssue,Critical,1,76,3608
M00214,2026-02-10,V0269,SensorMalfunction,Low,3,4,336
M00215,2026-02-11,V0334,EngineFault,Medium,7,11,549
M00216,2026-02-11,V0135,BatteryDegradation,High,2,29,1340
M00217,2026-02-11,V0337,BodyDamage,Critical,2,77,3769
M00218,2026-02-11,V0010,BodyDamage,Low,9,7,376
M00219,2026-02-11,V0374,BrakeIssue,High,0,29,1322
M00220,2026-02-11,V0385,SensorMalfunction,Critical,0,75,3729
M00221,2026-02-11,V0383,BrakeIssue,High,3,27,1348
M00222,2026-02-11,V0074,BrakeIssue,High,4,26,1336
M00223,2026-02-11,V0326,BatteryDegradation,Medium,7,9,377
M00224,2026-02-11,V0079,BrakeIssue,Medium,8,8,592
M00225,2026-02-11,V0296,TyreWear,High,8,26,1552
M00226,2026-02-11,V0261,BatteryDegradation,Low,6,7,234
M00227,2026-02-11,V0182,BatteryDegradation,Low,8,2,269
M00228,2026-02-11,V0323,SensorMalfunction,Medium,9,10,624
M00229,2026-02-11,V0006,BodyDamage,Critical,5,74,3798
M00230,2026-02-11,V0192,BrakeIssue,High,3,25,1287
M00231,2026-02-11,V0144,BatteryDegradation,Medium,8,9,496
M00232,2026-02-11,V0238,SensorMalfunction,Low,10,3,451
M00233,2026-02-11,V0174,TyreWear,Critical,3,77,3662
M00234,2026-02-11,V0103,EngineFault,Low,8,6,472
M00235,2026-02-11,V0312,SensorMalfunction,Low,7,3,84
M00236,2026-02-11,V0008,BodyDamage,Critical,1,77,3867
M00237,2026-02-11,V0139,BatteryDegradation,Critical,5,77,3557
M00238,2026-02-11,V0148,TyreWear,Critical,3,72,3660
M00239,2026-02-11,V0134,TyreWear,Medium,3,10,668
M00240,2026-02-11,V0222,TyreWear,Low,10,6,371
M00241,2026-02-11,V0058,BrakeIssue,Critical,1,73,3526
M00242,2026-02-11,V0013,BatteryDegradation,Critical,4,75,3853
M00243,2026-02-11,V0340,BrakeIssue,High,4,28,1335
M00244,2026-02-11,V0319,TyreWear,Low,8,5,185
M00245,2026-02-11,V0256,BodyDamage,High,1,28,1575
M00246,2026-02-11,V0237,SensorMalfunction,Low,9,7,135
M00247,2026-02-11,V0114,SensorMalfunction,Medium,10,11,447
M00248,2026-02-12,V0069,TyreWear,Low,6,2,106
M00249,2026-02-12,V0368,BatteryDegradation,Critical,3,76,3686
M00250,2026-02-12,V0148,BodyDamage,Medium,12,12,442
M00251,2026-02-12,V0002,EngineFault,Low,10,2,126
M00252,2026-02-12,V0170,SensorMalfunction,High,2,24,1565
M00253,2026-02-12,V0137,BodyDamage,Low,7,6,164
M00254,2026-02-12,V0204,BrakeIssue,Critical,3,74,3784
M00255,2026-02-12,V0294,BrakeIssue,High,3,25,1498
M00256,2026-02-12,V0349,BrakeIssue,Critical,3,74,3844
M00257,2026-02-12,V0035,BrakeIssue,Medium,17,13,506
M00258,2026-02-12,V0129,BatteryDegradation,Low,9,7,259
M00259,2026-02-12,V0308,SensorMalfunction,Low,10,6,215
M00260,2026-02-12,V0354,BrakeIssue,Critical,1,77,3614
M00261,2026-02-12,V0117,BodyDamage,Medium,7,12,490
M00262,2026-02-12,V0035,BodyDamage,Medium,4,13,629
M00263,2026-02-12,V0053,SensorMalfunction,Medium,5,8,372
M00264,2026-02-12,V0259,BatteryDegradation,Medium,9,8,664
M00265,2026-02-12,V0287,BrakeIssue,Critical,3,74,3810
M00266,2026-02-12,V0222,BodyDamage,Medium,7,13,448
M00267,2026-02-12,V0284,BatteryDegradation,Medium,10,8,375
M00268,2026-02-12,V0117,TyreWear,High,2,25,1436
M00269,2026-02-12,V0021,SensorMalfunction,Low,3,7,350
M00270,2026-02-12,V0066,TyreWear,Low,8,7,171
M00271,2026-02-12,V0221,BrakeIssue,Low,12,3,219
M00272,2026-02-12,V0034,TyreWear,Low,7,4,299
M00273,2026-02-13,V0110,SensorMalfunction,Critical,3,74,3584
M00274,2026-02-13,V0384,BatteryDegradation,Low,11,4,181
M00275,2026-02-13,V0330,SensorMalfunction,Medium,6,12,667
M00276,2026-02-13,V0341,BrakeIssue,Critical,5,73,3876
M00277,2026-02-13,V0266,BodyDamage,Medium,10,12,487
M00278,2026-02-13,V0075,SensorMalfunction,High,5,26,1205
M00279,2026-02-13,V0168,BatteryDegradation,Medium,6,13,603
M00280,2026-02-13,V0220,BatteryDegradation,Medium,10,12,510
M00281,2026-02-13,V0386,BrakeIssue,Low,9,4,454
M00282,2026-02-13,V0129,SensorMalfunction,Low,4,2,229
M00283,2026-02-13,V0312,SensorMalfunction,Critical,2,73,3871
M00284,2026-02-13,V0009,SensorMalfunction,Medium,10,13,519
M00285,2026-02-13,V0149,SensorMalfunction,Low,9,4,191
M00286,2026-02-13,V0235,BodyDamage,High,3,26,1230
M00287,2026-02-13,V0182,BrakeIssue,Critical,3,77,3589
M00288,2026-02-13,V0200,EngineFault,Low,8,4,158
M00289,2026-02-13,V0128,BodyDamage,Medium,6,12,632
M00290,2026-02-13,V0188,SensorMalfunction,Low,11,4,338
M00291,2026-02-13,V0027,BatteryDegradation,Low,10,3,81
M00292,2026-02-13,V0393,EngineFault,Medium,4,12,480
M00293,2026-02-13,V0062,SensorMalfunction,High,5,27,1467
M00294,2026-02-13,V0318,BrakeIssue,Medium,4,13,696
M00295,2026-02-13,V0245,TyreWear,Critical,1,77,3851
M00296,2026-02-13,V0295,SensorMalfunction,Low,7,4,82
M00297,2026-02-13,V0350,SensorMalfunction,Medium,7,11,491
M00298,2026-02-13,V0273,BatteryDegradation,Medium,3,9,687
M00299,2026-02-13,V0283,BodyDamage,Critical,1,73,3845
M00300,2026-02-14,V0081,BatteryDegradation,Medium,3,9,572
M00301,2026-02-14,V0206,BodyDamage,Low,5,2,164
M00302,2026-02-14,V0221,BatteryDegradation,Medium,7,12,642
M00303,2026-02-14,V0226,BrakeIssue,Critical,2,73,3675
M00304,2026-02-14,V0380,EngineFault,Low,7,6,184
M00305,2026-02-14,V0136,EngineFault,Medium,9,13,511
M00306,2026-02-14,V0088,EngineFault,Medium,11,13,540
M00307,2026-02-14,V0169,BrakeIssue,Low,7,5,446
M00308,2026-02-14,V0350,SensorMalfunction,High,2,25,1460
M00309,2026-02-14,V0328,BatteryDegradation,Low,6,3,450
M00310,2026-02-14,V0042,BatteryDegradation,Low,10,6,328
M00311,2026-02-14,V0298,BodyDamage,High,3,27,1533
M00312,2026-02-14,V0205,TyreWear,Critical,2,72,3620
M00313,2026-02-14,V0216,EngineFault,Low,7,6,416
M00314,2026-02-14,V0044,BatteryDegradation,Medium,13,11,375
M00315,2026-02-14,V0330,BodyDamage,Medium,8,10,375
M00316,2026-02-14,V0232,EngineFault,Low,12,4,332
M00317,2026-02-14,V0180,BatteryDegradation,High,3,26,1465
M00318,2026-02-14,V0242,TyreWear,High,7,24,1286
M00319,2026-02-14,V0335,BodyDamage,Critical,1,72,3736
M00320,2026-02-14,V0098,BodyDamage,High,1,29,1205
M00321,2026-02-14,V0171,TyreWear,Critical,4,77,3844
M00322,2026-02-15,V0320,BatteryDegradation,Medium,8,11,684
M00323,2026-02-15,V0344,BatteryDegradation,High,3,26,1471
M00324,2026-02-15,V0370,EngineFault,High,1,28,1531
M00325,2026-02-15,V0163,TyreWear,High,2,29,1344
M00326,2026-02-15,V0146,BatteryDegradation,High,3,24,1357
M00327,2026-02-15,V0193,EngineFault,High,3,25,1209
M00328,2026-02-15,V0235,EngineFault,Medium,11,11,429
M00329,2026-02-15,V0314,BatteryDegradation,Low,7,6,147
M00330,2026-02-15,V0194,BrakeIssue,Medium,13,11,454
M00331,2026-02-15,V0378,BatteryDegradation,Low,13,7,180
M00332,2026-02-15,V0315,BatteryDegradation,High,3,29,1314
M00333,2026-02-15,V0370,BodyDamage,Medium,10,12,642
M00334,2026-02-15,V0082,SensorMalfunction,Medium,8,13,649
M00335,2026-02-15,V0200,BodyDamage,Medium,11,10,443
M00336,2026-02-15,V0081,BatteryDegradation,Low,9,7,421
M00337,2026-02-15,V0318,BatteryDegradation,High,7,28,1397
M00338,2026-02-15,V0370,SensorMalfunction,High,6,25,1237
M00339,2026-02-15,V0325,SensorMalfunction,Critical,2,72,3831
M00340,2026-02-15,V0209,BrakeIssue,Critical,2,74,3879
M00341,2026-02-15,V0179,TyreWear,Critical,0,77,3578
M00342,2026-02-15,V0327,SensorMalfunction,Low,3,6,98
M00343,2026-02-15,V0227,BrakeIssue,Low,7,2,197
M00344,2026-02-15,V0196,BatteryDegradation,High,2,26,1305
M00345,2026-02-15,V0112,TyreWear,Medium,8,12,538
M00346,2026-02-15,V0014,EngineFault,Critical,5,72,3570
M00347,2026-02-15,V0336,TyreWear,High,2,24,1540
M00348,2026-02-15,V0187,EngineFault,Low,6,7,220
M00349,2026-02-15,V0250,SensorMalfunction,Low,7,2,176
M00350,2026-02-15,V0226,BrakeIssue,Medium,11,11,517
M00351,2026-02-15,V0196,BatteryDegradation,Critical,4,72,3644
M00352,2026-02-15,V0356,SensorMalfunction,Medium,12,11,359
M00353,2026-02-15,V0079,BatteryDegradation,Low,4,5,466
M00354,2026-02-15,V0299,BatteryDegradation,Low,10,5,290
M00355,2026-02-16,V0300,SensorMalfunction,High,2,28,1247
M00356,2026-02-16,V0175,EngineFault,Medium,9,12,435
M00357,2026-02-16,V0022,BatteryDegradation,Low,6,7,416
M00358,2026-02-16,V0223,BrakeIssue,Low,15,5,276
M00359,2026-02-16,V0243,BodyDamage,Low,4,2,294
M00360,2026-02-16,V0396,SensorMalfunction,Critical,3,77,3859
M00361,2026-02-16,V0397,SensorMalfunction,Critical,4,77,3602
M00362,2026-02-16,V0199,BrakeIssue,Low,8,5,145
M00363,2026-02-16,V0394,EngineFault,Medium,9,11,531
M00364,2026-02-16,V0288,SensorMalfunction,Low,8,3,131
M00365,2026-02-16,V0136,BodyDamage,Medium,5,11,470
M00366,2026-02-16,V0326,BatteryDegradation,Medium,6,8,370
M00367,2026-02-16,V0311,EngineFault,Low,13,5,304
M00368,2026-02-16,V0036,BrakeIssue,Low,4,2,109
M00369,2026-02-16,V0369,SensorMalfunction,Medium,7,13,597
M00370,2026-02-16,V0347,BrakeIssue,Critical,4,75,3734
M00371,2026-02-16,V0130,SensorMalfunction,Low,6,3,305
M00372,2026-02-16,V0144,EngineFault,Low,9,7,317
M00373,2026-02-16,V0079,SensorMalfunction,Low,11,5,395
M00374,2026-02-16,V0075,SensorMalfunction,Low,6,4,336
M00375,2026-02-16,V0097,BrakeIssue,Low,10,3,120
M00376,2026-02-16,V0349,EngineFault,Medium,13,13,735
M00377,2026-02-16,V0241,TyreWear,Critical,4,77,3878
M00378,2026-02-16,V0253,TyreWear,Medium,7,13,712
M00379,2026-02-16,V0307,BatteryDegradation,High,4,24,1405
M00380,2026-02-16,V0042,TyreWear,Critical,4,72,3624
M00381,2026-02-17,V0331,BatteryDegradation,Medium,13,12,526
M00382,2026-02-17,V0066,BrakeIssue,Low,9,7,217
M00383,2026-02-17,V0312,TyreWear,Low,8,5,225
M00384,2026-02-17,V0148,BrakeIssue,Low,12,7,217
M00385,2026-02-17,V0121,BatteryDegradation,Medium,5,8,373
M00386,2026-02-17,V0114,SensorMalfunction,Critical,0,73,3596
M00387,2026-02-17,V0173,EngineFault,Medium,9,10,576
M00388,2026-02-17,V0195,BodyDamage,Medium,13,11,624
M00389,2026-02-17,V0016,SensorMalfunction,High,2,27,1550
M00390,2026-02-17,V0259,SensorMalfunction,Medium,5,10,733
M00391,2026-02-17,V0073,BodyDamage,Medium,10,8,426
M00392,2026-02-17,V0060,BrakeIssue,Critical,1,74,3571
M00393,2026-02-17,V0039,BodyDamage,Medium,11,13,519
M00394,2026-02-17,V0066,BrakeIssue,Medium,11,12,456
M00395,2026-02-17,V0302,BrakeIssue,Critical,1,77,3704
M00396,2026-02-17,V0203,TyreWear,High,2,29,1402
M00397,2026-02-17,V0007,EngineFault,Low,10,2,114
M00398,2026-02-17,V0213,TyreWear,Medium,9,9,614
M00399,2026-02-18,V0358,EngineFault,High,2,24,1377
M00400,2026-02-18,V0078,TyreWear,Critical,3,72,3612
M00401,2026-02-18,V0307,TyreWear,Low,11,4,328
M00402,2026-02-18,V0277,BrakeIssue,Medium,5,9,736
M00403,2026-02-18,V0123,EngineFault,High,3,28,1505
M00404,2026-02-18,V0095,SensorMalfunction,Medium,10,13,445
M00405,2026-02-18,V0136,BatteryDegradation,Medium,4,8,378
M00406,2026-02-18,V0148,BatteryDegradation,Medium,5,11,649
M00407,2026-02-18,V0376,BatteryDegradation,Low,9,4,96
M00408,2026-02-18,V0056,BatteryDegradation,Medium,10,11,533
M00409,2026-02-18,V0216,BrakeIssue,Low,8,5,406
M00410,2026-02-18,V0289,SensorMalfunction,Critical,1,76,3655
M00411,2026-02-18,V0071,BatteryDegradation,Medium,2,11,675
M00412,2026-02-18,V0395,BodyDamage,High,5,27,1267
M00413,2026-02-18,V0226,SensorMalfunction,Critical,5,73,3588
M00414,2026-02-19,V0282,BodyDamage,Medium,12,13,703
M00415,2026-02-19,V0385,EngineFault,Medium,5,10,631
M00416,2026-02-19,V0165,SensorMalfunction,High,2,28,1537
M00417,2026-02-19,V0199,BodyDamage,Critical,4,74,3771
M00418,2026-02-19,V0028,EngineFault,Low,10,7,98
M00419,2026-02-19,V0337,BrakeIssue,Medium,5,8,522
M00420,2026-02-19,V0061,SensorMalfunction,Medium,11,9,690
M00421,2026-02-19,V0338,BatteryDegradation,Medium,6,10,505
M00422,2026-02-19,V0216,BrakeIssue,Low,6,7,445
M00423,2026-02-19,V0322,TyreWear,Low,5,2,336
M00424,2026-02-19,V0047,BodyDamage,Medium,9,10,529
M00425,2026-02-19,V0062,BodyDamage,Low,5,5,328
M00426,2026-02-19,V0261,BodyDamage,High,2,28,1580
M00427,2026-02-19,V0027,TyreWear,Critical,4,76,3649
M00428,2026-02-19,V0180,BatteryDegradation,Medium,12,12,459
M00429,2026-02-19,V0350,SensorMalfunction,Low,7,4,293
