session_id,date,hub_id,vehicle_id,duration_minutes,kwh_delivered,platform_logged,asset_monitor_flag,cost_gbp
CH000068,2026-02-01,H035C,V0366,235,37.66,1,1,12.8
CH000069,2026-02-01,H011C,V0283,190,24.19,1,1,8.22
CH000070,2026-02-01,H006C,V0387,103,27.22,1,1,9.25
CH000071,2026-02-01,H030C,V0285,66,41.52,1,1,14.12
CH000072,2026-02-01,H034C,V0109,137,24.83,1,1,8.44
CH000073,2026-02-01,H018C,V0030,45,22.99,1,1,7.82
CH000074,2026-02-01,H034C,V0385,182,52.92,1,1,17.99
CH000075,2026-02-01,H020C,V0198,76,37.5,1,1,12.75
CH000076,2026-02-01,H020C,V0319,149,8.39,1,1,2.85
CH000077,2026-02-01,H035C,V0181,227,25.66,1,1,8.72
CH000078,2026-02-01,H003C,V0159,220,34.83,1,1,11.84
CH000079,2026-02-01,H013C,V0165,220,23.43,1,1,7.97
CH000080,2026-02-01,H032C,V0093,212,38.6,1,1,13.12
CH000081,2026-02-01,H033C,V0065,193,1.93,1,0,0.66
CH000082,2026-02-01,H026C,V0175,15,37.91,1,1,12.89
CH000083,2026-02-01,H013C,V0002,146,30.29,1,1,10.3
CH000084,2026-02-01,H010C,V0031,117,50.78,1,1,17.27
CH000085,2026-02-01,H011C,V0367,154,26.44,1,1,8.99
CH000086,2026-02-01,H011C,V0012,217,8.42,1,1,2.86
CH000087,2026-02-01,H006C,V0369,160,1.87,1,0,0.64
CH000088,2026-02-01,H035C,V0277,48,57.96,1,1,19.71
CH000089,2026-02-01,H026C,V0115,134,42.85,1,1,14.57
CH000090,2026-02-01,H026C,V0384,46,54.6,1,1,18.56
CH000091,2026-02-01,H016C,V0058,165,21.0,1,1,7.14
CH000092,2026-02-01,H020C,V0340,225,5.16,1,1,1.75
CH000093,2026-02-01,H016C,V0320,55,48.98,1,1,16.65
CH000094,2026-02-01,H028C,V0089,57,49.92,1,1,16.97
CH000095,2026-02-01,H013C,V0311,50,40.02,1,1,13.61
CH000096,2026-02-01,H013C,V0174,107,30.62,1,1,10.41
CH000097,2026-02-01,H023C,V0276,98,23.75,1,1,8.08
CH000098,2026-02-01,H030C,V0150,149,13.74,1,1,4.67
CH000099,2026-02-01,H003C,V0393,228,45.19,1,1,15.36
CH000100,2026-02-01,H026C,V0076,52,26.49,1,1,9.01
CH000101,2026-02-01,H034C,V0226,103,41.58,1,1,14.14
CH000102,2026-02-01,H031C,V0163,155,23.24,1,1,7.9
CH000103,2026-02-01,H024C,V0297,47,59.95,1,1,20.38
CH000104,2026-02-01,H035C,V0262,133,0.53,1,0,0.18
CH000105,2026-02-01,H008C,V0285,54,41.99,1,1,14.28
CH000106,2026-02-01,H013C,V0150,36,49.6,1,1,16.86
CH000107,2026-02-01,H003C,V0355,161,1.1,1,0,0.37
CH000108,2026-02-01,H018C,V0262,94,54.76,1,1,18.62
CH000109,2026-02-01,H033C,V0104,76,38.17,1,1,12.98
CH000110,2026-02-01,H031C,V0383,160,38.57,1,1,13.11
CH000111,2026-02-01,H017C,V0369,144,52.96,1,1,18.01
CH000112,2026-02-01,H021C,V0364,139,12.53,1,1,4.26
CH000113,2026-02-01,H031C,V0063,139,18.22,1,1,6.19
CH000114,2026-02-01,H003C,V0233,53,0.13,1,0,0.04
CH000115,2026-02-01,H019C,V0383,109,30.72,1,1,10.44
CH000116,2026-02-01,H021C,V0111,101,38.83,1,1,13.2
CH000117,2026-02-01,H030C,V0293,106,27.63,1,1,9.39
CH000118,2026-02-01,H006C,V0055,74,0.9,1,0,0.31
CH000119,2026-02-01,H013C,V0067,83,48.29,1,1,16.42
CH000120,2026-02-01,H016C,V0257,237,47.95,1,1,16.3
CH000121,2026-02-01,H019C,V0316,20,33.47,1,1,11.38
CH000122,2026-02-01,H008C,V0381,143,56.34,1,1,19.16
CH000123,2026-02-01,H030C,V0388,190,13.4,1,1,4.56
CH000124,2026-02-01,H013C,V0148,161,6.43,1,1,2.19
CH000125,2026-02-01,H006C,V0342,29,40.62,1,1,13.81
CH000126,2026-02-01,H032C,V0368,194,56.47,1,1,19.2
CH000127,2026-02-01,H003C,V0036,102,13.46,1,1,4.58
CH000128,2026-02-01,H010C,V0373,202,17.97,1,1,6.11
CH000129,2026-02-01,H018C,V0115,62,46.32,1,1,15.75
CH000130,2026-02-01,H020C,V0054,147,17.15,1,1,5.83
CH000131,2026-02-01,H024C,V0134,79,52.09,1,1,17.71
CH000132,2026-02-01,H026C,V0293,201,0.61,1,0,0.21
CH000133,2026-02-01,H034C,V0370,66,54.64,1,1,18.58
CH000134,2026-02-01,H034C,V0263,174,23.39,1,1,7.95
CH000135,2026-02-01,H006C,V0226,56,0.71,1,0,0.24
CH000136,2026-02-01,H006C,V0092,171,33.81,1,1,11.5
CH000137,2026-02-01,H026C,V0299,229,41.95,1,1,14.26
CH000138,2026-02-01,H026C,V0239,204,27.42,1,1,9.32
CH000139,2026-02-01,H032C,V0313,203,17.48,1,1,5.94
CH000140,2026-02-01,H035C,V0302,165,22.36,1,1,7.6
CH000141,2026-02-01,H006C,V0113,203,55.67,1,1,18.93
CH000142,2026-02-01,H016C,V0262,160,43.75,1,1,14.88
CH000143,2026-02-01,H008C,V0029,190,38.46,1,1,13.08
CH000144,2026-02-01,H017C,V0029,87,54.75,1,1,18.62
CH000145,2026-02-01,H016C,V0098,49,11.11,1,1,3.78
CH000146,2026-02-01,H008C,V0135,35,27.87,1,1,9.48
CH000147,2026-02-01,H020C,V0153,202,35.51,1,1,12.07
CH000148,2026-02-01,H026C,V0133,169,24.72,1,1,8.4
CH000149,2026-02-01,H008C,V0280,84,15.84,1,1,5.39
CH000150,2026-02-01,H013C,V0345,34,46.2,1,1,15.71
CH000151,2026-02-01,H018C,V0084,202,59.79,1,1,20.33
CH000152,2026-02-01,H026C,V0261,216,0.69,1,0,0.23
CH000153,2026-02-01,H032C,V0048,136,7.51,1,1,2.55
CH000154,2026-02-01,H016C,V0212,153,49.92,1,1,16.97
CH000155,2026-02-01,H032C,V0092,60,16.93,1,1,5.76
CH000156,2026-02-01,H024C,V0121,49,6.61,1,1,2.25
CH000157,2026-02-01,H023C,V0123,172,57.2,1,1,19.45
CH000158,2026-02-01,H019C,V0204,179,39.04,1,1,13.27
CH000159,2026-02-01,H006C,V0087,157,1.75,1,0,0.6
CH000160,2026-02-01,H006C,V0257,29,7.16,1,1,2.43
CH000161,2026-02-01,H032C,V0006,46,58.21,1,1,19.79
CH000162,2026-02-01,H010C,V0385,20,45.86,1,1,15.59
CH000163,2026-02-01,H020C,V0215,17,0.86,1,0,0.29
CH000164,2026-02-01,H018C,V0150,114,45.93,1,1,15.62
CH000165,2026-02-01,H017C,V0184,99,15.23,1,1,5.18
CH000166,2026-02-01,H010C,V0198,211,35.99,1,1,12.24
CH000167,2026-02-01,H023C,V0229,92,44.78,1,1,15.23
CH000168,2026-02-01,H016C,V0017,207,1.78,1,0,0.61
CH000169,2026-02-01,H008C,V0387,162,50.87,1,1,17.3
CH000170,2026-02-01,H031C,V0017,117,5.35,1,1,1.82
CH000171,2026-02-01,H011C,V0368,41,1.15,1,0,0.39
CH000172,2026-02-01,H023C,V0329,221,32.26,1,1,10.97
CH000173,2026-02-01,H033C,V0048,60,10.61,1,1,3.61
CH000174,2026-02-01,H020C,V0370,233,11.62,1,1,3.95
CH000175,2026-02-01,H031C,V0219,26,52.2,1,1,17.75
CH000176,2026-02-01,H034C,V0233,122,31.33,1,1,10.65
CH000177,2026-02-01,H032C,V0290,65,30.79,1,1,10.47
CH000178,2026-02-01,H013C,V0197,99,25.43,1,1,8.65
CH000179,2026-02-01,H034C,V0048,37,12.18,1,1,4.14
CH000180,2026-02-01,H021C,V0045,223,1.71,1,0,0.58
CH000181,2026-02-01,H010C,V0143,95,27.17,1,1,9.24
CH000182,2026-02-01,H026C,V0387,183,0.35,1,0,0.12
CH000183,2026-02-01,H020C,V0174,77,42.29,1,1,14.38
CH000184,2026-02-01,H026C,V0174,62,27.75,1,1,9.44
CH000185,2026-02-01,H010C,V0039,54,0.46,1,0,0.16
CH000186,2026-02-01,H030C,V0237,140,1.83,1,0,0.62
CH000187,2026-02-01,H024C,V0342,16,1.21,1,0,0.41
CH000188,2026-02-01,H020C,V0180,60,0.15,1,0,0.05
CH000189,2026-02-01,H019C,V0242,55,16.2,1,1,5.51
CH000190,2026-02-01,H035C,V0292,153,0.72,1,0,0.24
CH000191,2026-02-01,H026C,V0088,38,27.4,1,1,9.32
CH000192,2026-02-01,H033C,V0087,173,11.38,1,1,3.87
CH000193,2026-02-01,H012C,V0166,125,0.57,1,0,0.19
CH000194,2026-02-01,H008C,V0194,232,49.43,1,1,16.81
CH000195,2026-02-01,H006C,V0295,68,43.7,1,1,14.86
CH000196,2026-02-01,H018C,V0358,204,17.38,1,1,5.91
CH000197,2026-02-01,H003C,V0127,186,13.6,1,1,4.62
CH000198,2026-02-01,H028C,V0090,15,34.64,1,1,11.78
CH000199,2026-02-01,H019C,V0084,130,21.31,1,1,7.25
CH000200,2026-02-01,H016C,V0140,223,48.43,1,1,16.47
CH000201,2026-02-01,H032C,V0226,90,22.16,1,1,7.53
CH000202,2026-02-01,H008C,V0245,64,9.75,1,1,3.32
CH000203,2026-02-01,H019C,V0174,224,56.56,1,1,19.23
CH000204,2026-02-01,H018C,V0180,91,40.83,1,1,13.88
CH000205,2026-02-01,H034C,V0069,80,18.21,1,1,6.19
CH000206,2026-02-01,H028C,V0146,228,33.07,1,1,11.24
CH000207,2026-02-01,H014C,V0143,105,27.2,1,1,9.25
CH000208,2026-02-01,H014C,V0103,51,50.22,1,1,17.07
CH000209,2026-02-01,H030C,V0269,136,36.57,1,1,12.43
CH000210,2026-02-01,H030C,V0320,184,0.34,1,0,0.12
CH000211,2026-02-01,H026C,V0073,121,8.47,1,1,2.88
CH000212,2026-02-01,H017C,V0072,39,11.1,1,1,3.77
CH000213,2026-02-01,H020C,V0161,163,22.46,1,1,7.64
CH000214,2026-02-01,H033C,V0066,136,11.41,1,1,3.88
CH000215,2026-02-01,H010C,V0192,56,1.94,1,0,0.66
CH000216,2026-02-01,H034C,V0197,187,48.92,1,1,16.63
CH000217,2026-02-01,H018C,V0233,123,0.55,1,0,0.19
CH000218,2026-02-01,H006C,V0031,46,52.33,1,1,17.79
CH000219,2026-02-01,H033C,V0126,120,18.94,1,1,6.44
CH000220,2026-02-01,H028C,V0338,16,52.61,1,1,17.89
CH000221,2026-02-01,H016C,V0387,115,51.51,1,1,17.51
CH000222,2026-02-01,H021C,V0175,167,1.7,1,0,0.58
CH000223,2026-02-01,H028C,V0198,122,17.98,1,1,6.11
CH000224,2026-02-01,H031C,V0360,38,43.15,1,1,14.67
CH000225,2026-02-01,H013C,V0002,38,38.37,1,1,13.05
CH000226,2026-02-01,H013C,V0002,194,1.95,1,0,0.66
CH000227,2026-02-01,H011C,V0328,68,0.84,1,0,0.29
CH000228,2026-02-01,H026C,V0133,197,59.28,1,1,20.16
CH000229,2026-02-01,H013C,V0072,122,54.83,1,1,18.64
CH000230,2026-02-01,H023C,V0081,15,42.58,1,1,14.48
CH000231,2026-02-01,H024C,V0313,128,8.91,1,1,3.03
CH000232,2026-02-01,H020C,V0178,238,21.45,1,1,7.29
CH000233,2026-02-01,H030C,V0233,192,53.31,1,1,18.13
CH000234,2026-02-01,H032C,V0093,212,11.7,1,1,3.98
CH000235,2026-02-01,H016C,V0123,117,40.04,1,1,13.61
CH000236,2026-02-01,H008C,V0262,158,39.27,1,1,13.35
CH000237,2026-02-02,H019C,V0337,210,59.4,1,1,20.2
CH000238,2026-02-02,H035C,V0291,35,0.85,1,0,0.29
CH000239,2026-02-02,H006C,V0076,126,42.72,1,1,14.52
CH000240,2026-02-02,H018C,V0058,100,28.71,1,1,9.76
CH000241,2026-02-02,H026C,V0146,214,7.77,1,1,2.64
CH000242,2026-02-02,H017C,V0175,65,1.1,1,0,0.37
CH000243,2026-02-02,H010C,V0098,35,44.91,1,1,15.27
CH000244,2026-02-02,H003C,V0334,62,19.08,1,1,6.49
CH000245,2026-02-02,H028C,V0192,104,31.68,1,1,10.77
CH000246,2026-02-02,H013C,V0390,57,0.54,1,0,0.18
CH000247,2026-02-02,H003C,V0224,168,59.75,1,1,20.32
CH000248,2026-02-02,H030C,V0385,212,19.54,1,1,6.64
CH000249,2026-02-02,H024C,V0058,146,43.95,1,1,14.94
CH000250,2026-02-02,H035C,V0351,96,17.6,1,1,5.98
CH000251,2026-02-02,H003C,V0262,30,6.91,1,1,2.35
CH000252,2026-02-02,H023C,V0316,106,29.41,1,1,10.0
CH000253,2026-02-02,H014C,V0232,124,35.53,1,1,12.08
CH000254,2026-02-02,H034C,V0352,57,40.98,1,1,13.93
CH000255,2026-02-02,H012C,V0394,208,55.52,1,1,18.88
CH000256,2026-02-02,H024C,V0331,99,5.5,1,1,1.87
CH000257,2026-02-02,H024C,V0193,176,37.13,1,1,12.62
CH000258,2026-02-02,H023C,V0384,15,9.37,1,1,3.19
CH000259,2026-02-02,H035C,V0394,107,22.5,1,1,7.65
CH000260,2026-02-02,H010C,V0056,150,13.47,1,1,4.58
CH000261,2026-02-02,H026C,V0115,22,39.56,1,1,13.45
CH000262,2026-02-02,H011C,V0123,161,25.71,1,1,8.74
CH000263,2026-02-02,H011C,V0283,105,51.03,1,1,17.35
CH000264,2026-02-02,H035C,V0197,57,35.55,1,1,12.09
CH000265,2026-02-02,H032C,V0204,225,1.25,1,0,0.43
CH000266,2026-02-02,H020C,V0087,54,57.13,1,1,19.42
CH000267,2026-02-02,H003C,V0323,178,39.14,1,1,13.31
CH000268,2026-02-02,H031C,V0029,209,54.28,1,1,18.46
CH000269,2026-02-02,H003C,V0181,60,28.48,1,1,9.68
CH000270,2026-02-02,H008C,V0067,64,51.46,1,1,17.5
CH000271,2026-02-02,H008C,V0022,127,1.75,1,0,0.6
CH000272,2026-02-02,H011C,V0293,149,55.73,1,1,18.95
CH000273,2026-02-02,H016C,V0066,188,0.95,1,0,0.32
CH000274,2026-02-02,H013C,V0116,164,25.91,1,1,8.81
CH000275,2026-02-02,H033C,V0115,215,24.7,1,1,8.4
CH000276,2026-02-02,H024C,V0092,205,26.14,1,1,8.89
CH000277,2026-02-02,H033C,V0024,107,24.7,1,1,8.4
CH000278,2026-02-02,H019C,V0306,226,14.33,1,1,4.87
CH000279,2026-02-02,H033C,V0197,110,30.96,1,1,10.53
CH000280,2026-02-02,H034C,V0273,95,57.73,1,1,19.63
CH000281,2026-02-02,H023C,V0193,143,31.92,1,1,10.85
CH000282,2026-02-02,H010C,V0313,19,44.81,1,1,15.24
CH000283,2026-02-02,H031C,V0345,209,12.91,1,1,4.39
CH000284,2026-02-02,H034C,V0379,233,26.66,1,1,9.06
CH000285,2026-02-02,H021C,V0389,226,57.14,1,1,19.43
CH000286,2026-02-02,H010C,V0277,158,50.93,1,1,17.32
CH000287,2026-02-02,H030C,V0244,206,26.65,1,1,9.06
CH000288,2026-02-02,H032C,V0194,144,1.81,1,0,0.62
CH000289,2026-02-02,H010C,V0149,57,1.16,1,0,0.39
CH000290,2026-02-02,H019C,V0291,40,51.4,1,1,17.48
CH000291,2026-02-02,H031C,V0179,146,6.93,1,1,2.36
CH000292,2026-02-02,H019C,V0320,71,58.32,1,1,19.83
CH000293,2026-02-02,H020C,V0163,227,15.66,1,1,5.32
CH000294,2026-02-02,H023C,V0165,112,9.83,1,1,3.34
CH000295,2026-02-02,H017C,V0018,124,38.73,1,1,13.17
CH000296,2026-02-02,H031C,V0253,82,10.83,1,1,3.68
CH000297,2026-02-02,H035C,V0279,21,46.07,1,1,15.66
CH000298,2026-02-02,H020C,V0219,91,58.83,1,1,20.0
CH000299,2026-02-02,H014C,V0085,57,10.38,1,1,3.53
CH000300,2026-02-02,H017C,V0323,156,16.09,1,1,5.47
CH000301,2026-02-02,H016C,V0007,149,30.0,1,1,10.2
CH000302,2026-02-02,H003C,V0254,60,1.33,1,0,0.45
CH000303,2026-02-02,H034C,V0143,109,16.02,1,1,5.45
CH000304,2026-02-02,H011C,V0073,91,53.68,1,1,18.25
CH000305,2026-02-02,H017C,V0392,42,1.19,1,0,0.4
CH000306,2026-02-02,H011C,V0276,46,23.78,1,1,8.09
CH000307,2026-02-02,H020C,V0279,62,55.92,1,1,19.01
CH000308,2026-02-02,H034C,V0143,43,40.3,1,1,13.7
CH000309,2026-02-02,H013C,V0323,61,20.49,1,1,6.97
CH000310,2026-02-02,H023C,V0257,33,29.58,1,1,10.06
CH000311,2026-02-02,H013C,V0400,60,40.9,1,1,13.91
CH000312,2026-02-02,H034C,V0082,27,32.9,1,1,11.19
CH000313,2026-02-02,H011C,V0346,155,9.8,1,1,3.33
CH000314,2026-02-02,H008C,V0242,55,5.93,1,1,2.02
CH000315,2026-02-02,H008C,V0314,61,34.43,1,1,11.71
CH000316,2026-02-02,H016C,V0102,198,54.54,1,1,18.54
CH000317,2026-02-02,H031C,V0290,181,37.73,1,1,12.83
CH000318,2026-02-02,H003C,V0188,203,1.79,1,0,0.61
CH000319,2026-02-02,H003C,V0142,204,43.57,1,1,14.81
CH000320,2026-02-02,H034C,V0112,127,9.8,1,1,3.33
CH000321,2026-02-02,H024C,V0275,43,31.01,1,1,10.54
CH000322,2026-02-02,H014C,V0173,33,56.22,1,1,19.11
CH000323,2026-02-02,H006C,V0316,204,0.64,1,0,0.22
CH000324,2026-02-02,H010C,V0127,128,8.5,1,1,2.89
CH000325,2026-02-02,H024C,V0328,109,41.28,1,1,14.04
CH000326,2026-02-02,H032C,V0245,61,53.32,1,1,18.13
CH000327,2026-02-02,H010C,V0039,143,23.37,1,1,7.95
CH000328,2026-02-02,H018C,V0017,174,35.01,1,1,11.9
CH000329,2026-02-02,H035C,V0288,98,1.89,1,0,0.64
CH000330,2026-02-02,H010C,V0019,161,7.91,1,1,2.69
CH000331,2026-02-02,H008C,V0159,97,23.18,1,1,7.88
CH000332,2026-02-02,H034C,V0344,117,1.2,1,0,0.41
CH000333,2026-02-02,H011C,V0173,236,22.98,1,1,7.81
CH000334,2026-02-02,H003C,V0014,148,45.03,1,1,15.31
CH000335,2026-02-02,H026C,V0015,187,13.58,1,1,4.62
CH000336,2026-02-02,H011C,V0161,34,11.45,1,1,3.89
CH000337,2026-02-02,H019C,V0233,177,11.67,1,1,3.97
CH000338,2026-02-02,H030C,V0293,16,28.73,1,1,9.77
CH000339,2026-02-02,H013C,V0275,193,28.64,1,1,9.74
CH000340,2026-02-02,H016C,V0352,135,8.17,1,1,2.78
CH000341,2026-02-02,H023C,V0381,44,48.38,1,1,16.45
CH000342,2026-02-02,H018C,V0250,232,43.55,1,1,14.81
CH000343,2026-02-02,H023C,V0358,204,48.41,1,1,16.46
CH000344,2026-02-02,H028C,V0384,76,52.61,1,1,17.89
CH000345,2026-02-02,H013C,V0093,197,1.15,1,0,0.39
CH000346,2026-02-02,H018C,V0113,171,5.83,1,1,1.98
CH000347,2026-02-02,H026C,V0203,148,1.73,1,0,0.59
CH000348,2026-02-02,H034C,V0089,35,35.3,1,1,12.0
CH000349,2026-02-02,H019C,V0199,107,34.5,1,1,11.73
CH000350,2026-02-02,H008C,V0250,154,44.16,1,1,15.01
CH000351,2026-02-02,H012C,V0049,179,25.07,1,1,8.52
CH000352,2026-02-02,H017C,V0237,28,0.26,1,0,0.09
CH000353,2026-02-02,H020C,V0193,207,13.01,1,1,4.42
CH000354,2026-02-02,H030C,V0045,199,16.26,1,1,5.53
CH000355,2026-02-02,H016C,V0153,168,21.88,1,1,7.44
CH000356,2026-02-02,H014C,V0370,187,49.05,1,1,16.68
CH000357,2026-02-02,H034C,V0204,199,44.74,1,1,15.21
CH000358,2026-02-02,H021C,V0261,143,8.96,1,1,3.05
CH000359,2026-02-02,H020C,V0355,114,39.0,1,1,13.26
CH000360,2026-02-02,H017C,V0277,173,28.24,1,1,9.6
CH000361,2026-02-02,H014C,V0337,223,52.04,1,1,17.69
CH000362,2026-02-02,H011C,V0008,69,46.0,1,1,15.64
CH000363,2026-02-02,H013C,V0045,161,39.09,1,1,13.29
CH000364,2026-02-02,H024C,V0283,47,16.26,1,1,5.53
CH000365,2026-02-02,H011C,V0340,155,18.37,1,1,6.25
CH000366,2026-02-02,H033C,V0165,204,56.83,1,1,19.32
CH000367,2026-02-02,H021C,V0143,39,12.99,1,1,4.42
CH000368,2026-02-02,H011C,V0323,213,13.47,1,1,4.58
CH000369,2026-02-02,H026C,V0066,238,49.64,1,1,16.88
CH000370,2026-02-02,H017C,V0156,81,29.1,1,1,9.89
CH000371,2026-02-02,H028C,V0127,142,32.28,1,1,10.98
CH000372,2026-02-02,H016C,V0356,47,55.24,1,1,18.78
CH000373,2026-02-02,H030C,V0373,124,53.87,1,1,18.32
CH000374,2026-02-02,H012C,V0295,155,16.08,1,1,5.47
CH000375,2026-02-02,H024C,V0275,28,8.49,1,1,2.89
CH000376,2026-02-02,H011C,V0115,124,16.94,1,1,5.76
CH000377,2026-02-02,H003C,V0018,46,35.87,1,1,12.2
CH000378,2026-02-02,H006C,V0281,37,50.61,1,1,17.21
CH000379,2026-02-02,H035C,V0276,61,15.93,1,1,5.42
CH000380,2026-02-02,H033C,V0066,71,59.41,1,1,20.2
CH000381,2026-02-02,H003C,V0227,138,12.38,1,1,4.21
CH000382,2026-02-02,H020C,V0274,68,49.11,1,1,16.7
CH000383,2026-02-02,H006C,V0042,139,36.23,1,1,12.32
CH000384,2026-02-02,H017C,V0274,91,30.23,1,1,10.28
CH000385,2026-02-02,H035C,V0149,158,15.01,1,1,5.1
CH000386,2026-02-02,H003C,V0123,17,4.77,1,1,1.62
CH000387,2026-02-02,H008C,V0245,154,44.3,1,1,15.06
CH000388,2026-02-02,H003C,V0233,134,44.27,1,1,15.05
CH000389,2026-02-02,H018C,V0111,127,5.42,1,1,1.84
CH000390,2026-02-02,H013C,V0341,200,21.79,1,1,7.41
CH000391,2026-02-02,H011C,V0200,75,59.33,1,1,20.17
CH000392,2026-02-02,H010C,V0161,128,40.38,1,1,13.73
CH000393,2026-02-02,H032C,V0088,112,36.77,1,1,12.5
CH000394,2026-02-02,H035C,V0028,132,56.33,1,1,19.15
CH000395,2026-02-02,H032C,V0285,151,12.01,1,1,4.08
CH000396,2026-02-02,H035C,V0087,52,26.15,1,1,8.89
CH000397,2026-02-02,H014C,V0123,133,1.96,1,0,0.67
CH000398,2026-02-02,H021C,V0352,93,40.67,1,1,13.83
CH000399,2026-02-02,H032C,V0381,17,56.36,1,1,19.16
CH000400,2026-02-02,H013C,V0150,220,43.05,1,1,14.64
CH000401,2026-02-02,H031C,V0292,75,33.37,1,1,11.35
CH000402,2026-02-02,H013C,V0337,200,54.18,1,1,18.42
CH000403,2026-02-02,H003C,V0042,162,35.58,1,1,12.1
CH000404,2026-02-02,H006C,V0028,205,24.35,1,1,8.28
CH000405,2026-02-02,H035C,V0017,162,18.87,1,1,6.42
CH000406,2026-02-02,H030C,V0024,232,8.49,1,1,2.89
CH000407,2026-02-02,H026C,V0341,42,23.15,1,1,7.87
CH000408,2026-02-02,H031C,V0245,126,13.46,1,1,4.58
